id,chID1,chID2,Neuron1,Neuron2,Dist_x,Dist_y,chID1_spikes,chID2_spikes,PS_yes,PS_event,PS_DeltaT,PS_HZ,PS_others,PS_Ratio,PS_pvalue,CI_yes,SC_yes,SC_event,SC_DeltaT_bin,SC_DeltaT_bin_height,SC_DeltaT_m,SC_DeltaT_fq,SC_HZ,SC_Ratio,lambda,probability
1,L10,M9,L10,M9,1,1,4839,4602,1,2103,0.4,11.683,1979,0.406,0,0,0,4215,0,2341,0.4,3060,23.417,0.871,353,0
2,B5,C4,B5,C4,1,1,1965,2404,1,1738,0,9.656,321,0.864,0,0,0,1950,0,1720,0,1865,10.833,0.992,164,0
4,M8,M7,M8,M7,0,1,2854,1759,1,1484,0,8.244,352,0.402,0,0,0,1708,0,1383,0,1655,9.489,0.598,100,0
5,B4,B5,B4,B5,0,1,1588,1965,1,1455,0.05,8.083,152,0.759,0,0,0,1674,0,1501,0.05,1509,9.3,1.054,120,0
6,B5,A5,B5,A5,1,0,1965,1523,1,1450,0.1,8.056,95,0.659,0,0,0,1466,0,1466,0.1,1465,8.144,0.746,119,0
8,B4,C4,B4,C4,1,0,1588,2404,1,1424,0.05,7.911,241,0.576,0,0,0,1631,0,1449,0.05,1497,9.061,1.027,135,0
9,C4,A5,C4,A5,2,1,2404,1523,1,1367,0.1,7.594,246,0.537,0,0,0,1419,0,1419,0.1,1449,7.883,0.59,125,0
10,C5,C4,C5,C4,0,1,1458,2404,1,1343,0.15,7.461,203,0.811,0,0,0,1550,0,1353,0.15,1419,8.611,1.063,125,0
11,K6,J6,K6,J6,1,0,2433,2296,1,1341,0.1,7.45,773,0.355,0,0,0,1870,0,1870,0.1,1805,10.389,0.769,117,0
12,L7,L8,L7,L8,0,1,2250,1679,1,1316,0.15,7.311,298,0.516,0,0,0,1481,0,1368,0.15,1414,8.228,0.658,81,0
13,M6,M4,M6,M4,0,2,3295,3051,1,1304,0.35,7.244,946,0.357,0,0,0,1889,0,1446,0.35,1742,10.494,0.573,213,0
14,M8,J6,M8,J6,3,2,2854,2296,1,1284,0.2,7.133,948,0.342,0,0,0,2010,0,1503,0.2,1807,11.167,0.704,136,0
15,M8,K6,M8,K6,2,2,2854,2433,1,1284,0.1,7.133,1044,0.407,0,0,0,2213,0,1617,0.1,1814,12.294,0.775,139,0
16,C5,A5,C5,A5,2,0,1458,1523,1,1207,0.25,6.706,97,0.73,0,0,0,1220,0,1220,0.25,1237,6.778,0.837,92,0
17,J9,K8,J9,K8,1,1,2135,1982,1,1207,0.25,6.706,705,0.452,0,0,0,1721,0,1257,0.25,1549,9.561,0.806,120,0
19,C5,D4,C5,D4,1,1,1458,2155,1,1173,0.2,6.517,137,0.794,0,0,0,1183,0,1183,0.2,1212,6.572,0.811,110,0
20,C5,E4,C5,E4,2,1,1458,3212,1,1169,0.35,6.494,242,0.695,0,0,0,1188,0,1188,0.35,1258,6.6,0.815,148,0
21,J6,L4,J6,L4,2,2,2296,2677,1,1160,0.6,6.444,406,0.445,0,0,0,1621,0,1215,0.6,1321,9.006,0.706,133,0
22,B5,E4,B5,E4,3,1,1965,3212,1,1158,0.2,6.433,401,0.559,0,0,0,1195,0,1195,0.2,1324,6.639,0.608,185,0
23,K8,J7,K8,J7,1,1,1982,2133,1,1149,0.2,6.383,604,0.328,0,0,0,1488,0,1246,0.2,1398,8.267,0.751,119,0
24,D4,E4,D4,E4,1,0,2155,3212,1,1148,0.15,6.378,1183,0.512,0,0,0,2022,0,1177,0.1,1872,11.233,0.938,201,0
25,A5,E4,A5,E4,4,1,1523,3212,1,1145,0.1,6.361,273,0.663,0,0,0,1171,0,1171,0.1,1256,6.506,0.769,151,0
26,M8,L4,M8,L4,1,4,2854,2677,1,1143,0.8,6.35,587,0.326,0,0,0,1654,0,1218,0.8,1365,9.189,0.58,154,0
